iter	Passed	Remaining
0	159	159374
1	161	80689
2	163	54394
3	164	41064
4	166	33067
5	167	27758
6	168	23938
7	169	21074
8	171	18856
9	172	17084
10	173	15640
11	175	14429
12	178	13531
13	179	12653
14	181	11886
15	182	11208
16	183	10612
17	184	10082
18	186	9609
19	187	9180
20	188	8795
21	189	8444
22	193	8225
23	194	7926
24	196	7646
25	197	7388
26	198	7156
27	199	6938
28	201	6734
29	202	6541
30	203	6359
31	204	6193
32	207	6082
33	209	5948
34	210	5803
35	211	5667
36	212	5540
37	214	5419
38	215	5302
39	216	5194
40	217	5094
41	218	4995
42	220	4900
43	224	4875
44	225	4791
45	227	4725
46	229	4646
47	230	4573
48	231	4501
49	233	4431
50	234	4364
51	238	4346
52	240	4301
53	242	4241
54	243	4184
55	244	4127
56	245	4069
57	247	4014
58	248	3962
59	249	3911
60	251	3866
61	253	3841
62	255	3798
63	256	3754
64	257	3709
65	259	3666
66	260	3624
67	261	3586
68	263	3548
69	264	3511
70	265	3473
71	268	3461
72	270	3429
73	271	3394
74	272	3358
75	273	3326
76	274	3293
77	275	3261
78	277	3230
79	278	3200
80	279	3169
81	280	3141
82	283	3128
83	284	3104
84	285	3078
85	287	3053
86	288	3029
87	289	3005
88	291	2980
89	292	2956
90	293	2932
91	294	2911
92	298	2907
93	299	2887
94	300	2865
95	302	2845
96	303	2822
97	304	2800
98	305	2779
99	306	2759
100	307	2740
101	309	2721
102	310	2702
103	313	2705
104	315	2687
105	316	2668
106	317	2651
107	318	2633
108	320	2616
109	321	2599
110	322	2582
111	323	2565
112	324	2548
113	328	2552
114	330	2540
115	331	2525
116	332	2509
117	333	2495
118	335	2480
119	336	2466
120	337	2451
121	338	2435
122	339	2421
123	341	2410
124	343	2406
125	345	2393
126	346	2379
127	347	2365
128	348	2352
129	349	2339
130	350	2327
131	352	2316
132	353	2305
133	354	2293
134	356	2286
135	358	2280
136	360	2269
137	361	2257
138	362	2245
139	363	2235
140	365	2225
141	366	2211
142	367	2202
143	368	2191
144	369	2180
145	373	2183
146	374	2173
147	375	2162
148	377	2153
149	378	2143
150	379	2133
151	380	2123
152	381	2114
153	383	2104
154	384	2095
155	385	2088
156	388	2084
157	389	2076
158	390	2067
159	391	2057
160	392	2046
161	393	2037
162	395	2028
163	396	2023
164	398	2015
165	399	2007
166	405	2023
167	407	2017
168	409	2012
169	410	2006
170	412	1998
171	413	1990
172	415	1984
173	418	1986
174	419	1978
175	420	1970
176	422	1963
177	423	1955
178	424	1948
179	426	1941
180	427	1934
181	428	1926
182	429	1919
183	433	1920
184	434	1914
185	435	1907
186	437	1901
187	438	1894
188	439	1886
189	440	1879
190	442	1872
191	443	1865
192	444	1858
193	446	1854
194	448	1853
195	450	1846
196	451	1839
197	452	1833
198	453	1826
199	454	1819
200	456	1813
201	457	1807
202	458	1800
203	459	1794
204	462	1795
205	464	1789
206	465	1783
207	466	1778
208	468	1772
209	469	1766
210	470	1760
211	472	1755
212	473	1749
213	474	1743
214	478	1745
215	479	1741
216	481	1736
217	482	1729
218	483	1723
219	484	1718
220	486	1713
221	487	1707
222	488	1701
223	489	1696
224	491	1694
225	493	1691
226	495	1685
227	496	1681
228	497	1675
229	498	1670
230	500	1664
231	501	1659
232	502	1654
233	504	1649
234	507	1652
235	508	1647
236	510	1642
237	511	1637
238	512	1631
239	513	1626
240	514	1621
241	516	1616
242	517	1610
243	518	1606
244	519	1601
245	523	1604
246	524	1599
247	525	1594
248	527	1590
249	528	1585
250	529	1581
251	531	1576
252	532	1571
253	533	1566
254	534	1562
255	536	1560
256	540	1561
257	541	1557
258	542	1552
259	543	1547
260	544	1543
261	546	1538
262	547	1534
263	549	1533
264	551	1528
265	552	1524
266	553	1519
267	554	1515
268	555	1510
269	557	1506
270	558	1502
271	559	1497
272	560	1493
273	563	1493
274	565	1490
275	566	1486
276	567	1481
277	569	1477
278	570	1474
279	571	1470
280	573	1466
281	574	1461
282	575	1457
283	577	1457
284	579	1454
285	580	1450
286	582	1446
287	583	1442
288	584	1438
289	585	1434
290	587	1430
291	588	1426
292	589	1422
293	591	1419
294	593	1419
295	595	1415
296	596	1411
297	597	1407
298	598	1403
299	600	1400
300	601	1396
301	602	1392
302	603	1389
303	605	1385
304	608	1386
305	610	1384
306	611	1380
307	612	1377
308	614	1373
309	615	1370
310	616	1366
311	618	1363
312	619	1359
313	620	1355
314	624	1357
315	625	1354
316	626	1350
317	628	1347
318	629	1343
319	630	1340
320	631	1336
321	632	1332
322	634	1329
323	635	1325
324	638	1327
325	640	1324
326	641	1320
327	642	1317
328	644	1313
329	645	1310
330	646	1306
331	647	1303
332	649	1300
333	650	1297
334	654	1298
335	655	1296
336	657	1293
337	658	1290
338	660	1287
339	661	1284
340	662	1280
341	670	1290
342	674	1291
343	675	1288
344	676	1285
345	678	1282
346	680	1279
347	686	1286
348	688	1283
349	689	1280
350	691	1277
351	692	1274
352	693	1271
353	695	1269
354	702	1277
355	704	1274
356	706	1272
357	707	1268
358	708	1265
359	710	1262
360	715	1267
361	717	1265
362	719	1262
363	720	1259
364	722	1256
365	723	1253
366	727	1254
367	730	1254
368	732	1252
369	734	1249
370	735	1246
371	736	1243
372	738	1241
373	745	1248
374	748	1247
375	750	1245
376	752	1242
377	755	1243
378	757	1241
379	759	1238
380	760	1235
381	761	1232
382	763	1229
383	764	1226
384	765	1223
385	767	1220
386	783	1240
387	785	1238
388	792	1244
389	794	1243
390	796	1240
391	798	1238
392	812	1255
393	815	1254
394	817	1252
395	820	1251
396	821	1248
397	823	1246
398	828	1247
399	829	1244
400	833	1245
401	835	1242
402	839	1243
403	840	1240
404	842	1237
405	843	1234
406	845	1231
407	850	1234
408	852	1231
409	853	1228
410	855	1225
411	856	1222
412	857	1219
413	859	1216
414	860	1212
415	865	1214
416	866	1211
417	868	1208
418	869	1205
419	871	1202
420	872	1199
421	873	1196
422	875	1193
423	879	1194
424	880	1191
425	881	1188
426	883	1185
427	884	1182
428	886	1179
429	887	1176
430	888	1173
431	890	1170
432	893	1170
433	896	1168
434	897	1166
435	899	1163
436	901	1161
437	903	1159
438	904	1156
439	910	1159
440	912	1156
441	914	1154
442	915	1151
443	916	1147
444	918	1145
445	919	1142
446	925	1144
447	926	1142
448	928	1139
449	929	1136
450	930	1133
451	932	1130
452	933	1127
453	934	1124
454	939	1125
455	941	1123
456	942	1120
457	944	1117
458	945	1114
459	947	1111
460	948	1108
461	949	1105
462	950	1102
463	955	1103
464	956	1100
465	958	1098
466	959	1095
467	960	1092
468	962	1089
469	963	1086
470	964	1083
471	968	1083
472	970	1081
473	972	1079
474	973	1076
475	975	1073
476	976	1070
477	978	1068
478	979	1065
479	985	1067
480	986	1064
481	988	1062
482	990	1059
483	991	1057
484	993	1054
485	995	1052
486	997	1050
487	1000	1049
488	1001	1046
489	1004	1045
490	1005	1042
491	1006	1039
492	1008	1036
493	1009	1034
494	1010	1031
495	1012	1028
496	1014	1026
497	1015	1024
498	1017	1021
499	1018	1018
500	1019	1015
501	1021	1012
502	1022	1010
503	1023	1007
504	1025	1004
505	1028	1004
506	1030	1001
507	1031	999
508	1033	996
509	1034	993
510	1035	991
511	1037	988
512	1038	985
513	1039	983
514	1043	982
515	1044	980
516	1046	977
517	1047	974
518	1048	971
519	1050	969
520	1051	966
521	1052	963
522	1054	961
523	1055	958
524	1057	957
525	1059	954
526	1060	952
527	1062	949
528	1063	946
529	1064	943
530	1065	941
531	1066	938
532	1067	935
533	1069	933
534	1070	930
535	1072	928
536	1074	926
537	1075	923
538	1076	920
539	1077	918
540	1079	915
541	1080	913
542	1081	910
543	1083	907
544	1084	905
545	1085	902
546	1088	901
547	1090	899
548	1091	896
549	1092	893
550	1093	891
551	1094	888
552	1095	885
553	1096	883
554	1098	880
555	1099	877
556	1100	875
557	1103	874
558	1105	871
559	1106	869
560	1107	866
561	1109	864
562	1110	861
563	1111	859
564	1112	856
565	1113	854
566	1115	851
567	1118	850
568	1120	848
569	1121	846
570	1122	843
571	1123	841
572	1125	838
573	1126	836
574	1127	833
575	1129	831
576	1130	828
577	1131	826
578	1133	824
579	1135	822
580	1137	820
581	1138	817
582	1140	815
583	1141	813
584	1142	810
585	1144	808
586	1145	805
587	1146	803
588	1149	801
589	1150	799
590	1151	796
591	1152	794
592	1154	792
593	1155	789
594	1156	787
595	1157	784
596	1158	782
597	1160	779
598	1163	778
599	1164	776
600	1165	773
601	1166	771
602	1168	769
603	1169	766
604	1170	764
605	1171	761
606	1172	759
607	1173	756
608	1175	754
609	1177	753
610	1179	750
611	1180	748
612	1181	745
613	1182	743
614	1183	741
615	1185	738
616	1186	736
617	1187	734
618	1188	731
619	1190	729
620	1193	728
621	1194	726
622	1196	723
623	1197	721
624	1198	719
625	1199	716
626	1200	714
627	1202	712
628	1203	709
629	1204	707
630	1205	705
631	1208	703
632	1209	701
633	1210	699
634	1212	696
635	1213	694
636	1214	692
637	1216	689
638	1217	687
639	1219	685
640	1220	683
641	1222	681
642	1224	679
643	1225	677
644	1226	675
645	1227	672
646	1229	670
647	1230	668
648	1231	665
649	1232	663
650	1233	661
651	1235	659
652	1238	657
653	1239	655
654	1240	653
655	1241	651
656	1242	648
657	1243	646
658	1245	644
659	1246	642
660	1247	639
661	1248	637
662	1249	635
663	1252	633
664	1254	631
665	1255	629
666	1256	627
667	1257	625
668	1258	622
669	1259	620
670	1261	618
671	1262	616
672	1263	614
673	1265	611
674	1269	611
675	1270	609
676	1272	606
677	1273	604
678	1275	602
679	1276	600
680	1277	598
681	1279	596
682	1280	594
683	1283	592
684	1284	590
685	1286	588
686	1287	586
687	1289	584
688	1290	582
689	1291	580
690	1293	578
691	1294	576
692	1297	575
693	1299	573
694	1301	571
695	1302	568
696	1303	566
697	1304	564
698	1306	562
699	1307	560
700	1309	558
701	1310	556
702	1314	555
703	1315	553
704	1317	551
705	1318	549
706	1319	546
707	1321	544
708	1322	542
709	1323	540
710	1324	538
711	1328	537
712	1330	535
713	1332	533
714	1333	531
715	1334	529
716	1335	527
717	1336	525
718	1338	523
719	1339	521
720	1342	519
721	1345	517
722	1346	515
723	1347	513
724	1349	511
725	1350	509
726	1351	507
727	1353	505
728	1354	503
729	1355	501
730	1359	500
731	1360	498
732	1362	496
733	1363	494
734	1364	492
